country_name,region,catch,ssf_v_portions,ssf_v_total_employment,ssf_v_women_employment,ssf_v_livelihood,ssf_v_total_catch
Aruba,Americas,NA,NA,NA,NA,NA,NA
Afghanistan,Asia,0.00174,NA,0.9910633665062865,0.9921604123661221,0.998320111620523,1
Angola,Africa,0.4724762,NA,0.8219890353723486,0.8325387653585986,0.8979561786747744,0.32349925562388115
Anguilla,Americas,NA,NA,NA,NA,NA,NA
Åland Islands,Europe,NA,NA,NA,NA,NA,NA
Albania,Europe,0.0083906,NA,0.49780460559823186,0.48081126492498477,0.504791094902071,0.5988810097013324
Andorra,Europe,NA,NA,NA,NA,NA,NA
United Arab Emirates,Asia,0.0730406,NA,1,1,1,0.8300732880069441
Argentina,Americas,0.8316846,0.1507133978299644,0.7415201366962774,0.7098764443888171,0.7983832083534169,0.05510139059927285
Armenia,Asia,0.0042312,NA,1,1,1,1
American Samoa,Oceania,NA,NA,NA,NA,NA,NA
Antarctica,NA,NA,NA,NA,NA,NA,NA
French Southern Territories,Africa,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,Americas,0.0034428,NA,NA,NA,NA,0.6285953293830603
Australia,Oceania,0.1728294,NA,0.9443669268956132,0.9445920610835048,0.9928852132077671,1
Austria,Europe,3.5e-4,NA,0.7862347458114731,0.7252842250322185,0.7841845163658892,1
Azerbaijan,Asia,7.936e-4,NA,1,1,1,1
Burundi,Africa,0.018042,NA,0.9215544050377747,0.8886840675157248,0.9724340097246954,1
Belgium,Europe,0.025759,NA,0.3721644612476371,0.337385469292201,0.3646450587677416,0.014423890678985984
Benin,Africa,0.0454729,NA,0.9217219679511457,0.9117029927988672,0.9555201013540066,1
"Bonaire, Sint Eustatius and Saba",Americas,NA,NA,NA,NA,NA,NA
Burkina Faso,Africa,0.0217856,NA,1,1,1,1
Bangladesh,Asia,1.764547,0.9673114216959531,0.966240397437661,0.9733042138221513,0.9931295934637993,0.9784190389941441
Bulgaria,Europe,0.0088723,NA,0.5572032207020763,0.4532584695459836,0.5804238002070138,1
Bahrain,Asia,0.015166,NA,0.9996453215607005,0.9994800680881695,0.9998151223690966,1
Bahamas,Americas,0.0117916,NA,0.9661106227246233,0.9539211641141073,0.9740188405206082,0.7223557447674616
Bosnia and Herzegovina,Europe,3e-4,NA,0.6847895460780669,0.562790868749635,0.6922418345667776,1
Saint Barthélemy,Americas,NA,NA,NA,NA,NA,NA
Belarus,Europe,7.596e-4,NA,1,1,1,1
Belize,Americas,0.0842234,NA,0.7993096582891193,0.8910219937325805,0.8564091715396964,0.06150993666843181
Bermuda,Americas,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),Americas,0.0070322,NA,1,1,1,1
Brazil,Americas,0.8292848,0.6782228338429714,0.8473329805113986,0.8269035064631158,0.9020646959643225,0.697776141561982
Barbados,Americas,0.0026123,1,0.8731439730273739,0.8371405193020165,0.9000816548720739,0.9999877502583929
Brunei Darussalam,Asia,0.0069076,NA,0.867624496009705,0.8801938596296214,0.9304890369480182,0.4399982627830216
Bhutan,Asia,1.33e-5,NA,0.9705868161255146,0.9770969289316808,0.9967452403687879,1
Bouvet Island,Americas,NA,NA,NA,NA,NA,NA
Botswana,Africa,3.512e-4,NA,0.861495682384892,0.8687378706743162,0.9232066887220032,1
Central African Republic,Africa,0.029,NA,1,1,1,1
Canada,Americas,0.8584387,NA,0.688253833170266,0.6738159940229703,0.8226790814762808,0.1723370148619814
Cocos (Keeling) Islands,Oceania,NA,NA,NA,NA,NA,NA
Channel Islands,Europe,NA,NA,0.5333384677590157,0.4858007213031015,0.5219656766241547,NA
Switzerland,Europe,0.0019592,NA,0.8112147668271377,0.7577199217915127,0.8096172054646287,1
Chile,Americas,1.745241,0.5413654212991141,0.8441990442067183,0.8647237769853721,0.8903550993858355,0.5132695071912704
China,Asia,16.27108,0.5652311503445375,0.8987995198789865,0.9203728011822362,0.9594319928788062,0.5362735796886253
Côte d'Ivoire,Africa,0.0860324,NA,0.8892303656855667,0.8008857092090067,0.9497735952196005,1
Cameroon,Africa,0.2291854,NA,0.9241361134364198,0.9031867026704522,0.9579665598795777,0.3988954139312539
Democratic Republic of the Congo,Africa,0.2439681,NA,0.9994943520957683,0.9992688559879961,0.9997549021522641,1
Congo,Africa,0.0870032,0.36357276687177287,0.9237764860175964,0.9037260290266775,0.9654562410311873,0.6851823381208967
Cook Islands,Oceania,0.004183,1,NA,NA,NA,0.1030360984939039
Colombia,Americas,0.0807478,NA,0.9597125015622527,0.9642140081159128,0.9736396326634615,1
Comoros,Africa,0.0197778,NA,1,1,1,0.2624930983223614
Cabo Verde,Africa,0.0310998,NA,0.8420890677923605,0.8373915783036866,0.8927857252089387,0.07651219621991139
Costa Rica,Americas,0.01508,NA,0.9216197996426929,0.95561687127073,0.9552130521786583,1
Cuba,Americas,0.0235484,NA,0.6362481701103508,0.696120353014683,0.6889309020744712,0.2592571469823852
Curaçao,Americas,NA,NA,NA,NA,NA,NA
Christmas Island,Oceania,NA,NA,NA,NA,NA,NA
Cayman Islands,Americas,NA,NA,NA,NA,NA,NA
Cyprus,Asia,0.0014378,NA,0.5049937451671801,0.4673271013274511,0.585499969926145,1
Czechia,Europe,0.0036956,NA,0.9056614658481433,0.8798970026479694,0.915346729350749,1
Germany,Europe,0.2518032,NA,0.6034671857215846,0.5754463183644157,0.6163356996725776,0.2089958983841349
Djibouti,Africa,0.0020508,NA,0.8606703137665996,0.8488000414201667,0.9143883563117369,1
Dominica,Americas,8.278e-4,NA,NA,NA,NA,1
